,mbti,enneagram,role,movie,img_url,enn_1,enn_2,downthemall,img_filepath
3754,ENFP,8w9,Bud Fox,   Wall Street ,https://www.personality-database.com/images/profile_transparent.png,8,9,<a href='https://www.personality-database.com/images/profile_transparent.png'></a>,downthemall/profile_transparent.png
3755,ENFP,8w9,General Mayhem,   The Lego Movies,https://www.personality-database.com/profile_images/45200.png?=undefined,8,9,<a href='https://www.personality-database.com/profile_images/45200.png?=undefined'></a>,downthemall/45200.png
3756,ENFP,4w3,Pauline Fleming,   Heathers ,https://www.personality-database.com/profile_images/105600.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/105600.png?=undefined'></a>,downthemall/105600.png
3757,ENFP,9w8,"Dame Marjorie ""Maude"" Chardin",   Harold and Maude ,https://www.personality-database.com/profile_images/53918.png?=undefined,9,8,<a href='https://www.personality-database.com/profile_images/53918.png?=undefined'></a>,downthemall/53918.png
3758,ENFP,2w3,Casey,   Scream movies,https://www.personality-database.com/profile_images/102899.png?=undefined,2,3,<a href='https://www.personality-database.com/profile_images/102899.png?=undefined'></a>,downthemall/102899.png
3759,ENFP,2w3,Fagin,   Oliver & Company ,https://www.personality-database.com/profile_images/13878.png?=undefined,2,3,<a href='https://www.personality-database.com/profile_images/13878.png?=undefined'></a>,downthemall/13878.png
3760,ENFP,6w7,Chris Gardner,   The Pursuit of Happyness ,https://www.personality-database.com/profile_images/85680.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/85680.png?=undefined'></a>,downthemall/85680.png
3761,ENFP,7w6,Grace,   Bad Genius,https://www.personality-database.com/profile_images/125680.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/125680.png?=undefined'></a>,downthemall/125680.png
3762,ENFP,7w8,Sam,   Garden State ,https://www.personality-database.com/profile_images/5634.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/5634.png?=undefined'></a>,downthemall/5634.png
3763,ENFP,7w6,Katherine “Kit Kat” Lake,   About Time ,https://www.personality-database.com/profile_images/114418.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/114418.png?=undefined'></a>,downthemall/114418.png
3764,ENFP,6w7,Penelope,   Barbie As Rapunzel ,https://www.personality-database.com/profile_images/58176.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/58176.png?=undefined'></a>,downthemall/58176.png
3765,ENFP,9w8,Thelma,   Thelma & Louise ,https://www.personality-database.com/profile_images/77803.png?=undefined,9,8,<a href='https://www.personality-database.com/profile_images/77803.png?=undefined'></a>,downthemall/77803.png
3766,ENFP,9w8,Tego Leo,   The Fast and the Furious,https://www.personality-database.com/profile_images/4787.png?=undefined,9,8,<a href='https://www.personality-database.com/profile_images/4787.png?=undefined'></a>,downthemall/4787.png
3767,ENFP,4w3,Dominic Greene,   James Bond,https://www.personality-database.com/profile_images/31499.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/31499.png?=undefined'></a>,downthemall/31499.png
3768,ENFP,7w6,Katherine “Kit Kat” Lake,   About Time ,https://www.personality-database.com/profile_images/114418.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/114418.png?=undefined'></a>,downthemall/114418.png
3769,ENFP,6w5,"Clarice Ferguson ""Blink""",   X-Men Cinematic Universe ,https://www.personality-database.com/profile_images/10444.png?=undefined,6,5,<a href='https://www.personality-database.com/profile_images/10444.png?=undefined'></a>,downthemall/10444.png
3770,ENFP,3w4,Detroit,   Sorry to Bother You ,https://www.personality-database.com/profile_images/26411.png?=undefined,3,4,<a href='https://www.personality-database.com/profile_images/26411.png?=undefined'></a>,downthemall/26411.png
3771,ENFP,9w8,Tego Leo,   The Fast and the Furious,https://www.personality-database.com/profile_images/4787.png?=undefined,9,8,<a href='https://www.personality-database.com/profile_images/4787.png?=undefined'></a>,downthemall/4787.png
3772,ENFP,4w3,Allison,   Yes Man ,https://www.personality-database.com/profile_images/44003.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/44003.png?=undefined'></a>,downthemall/44003.png
3773,ENFP,6w7,Danny Butterman (Hot Fuzz),   The Cornetto Trilogy,https://www.personality-database.com/images/profile_transparent.png,6,7,<a href='https://www.personality-database.com/images/profile_transparent.png'></a>,downthemall/profile_transparent.png
3774,ENFP,6w7,Maria,   West Side Story ,https://www.personality-database.com/profile_images/15710.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/15710.png?=undefined'></a>,downthemall/15710.png
3775,ENFP,7w6,Miles,   Guns Akimbo ,https://www.personality-database.com/profile_images/103822.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/103822.png?=undefined'></a>,downthemall/103822.png
3776,ENFP,4w3,Eliza Doolittle,   My Fair Lady,https://www.personality-database.com/profile_images/165114.png?=undefined,4,3,<a href='https://www.personality-database.com/profile_images/165114.png?=undefined'></a>,downthemall/165114.png
3777,ENFP,7w6,Dennis,   Hotel Transylvania ,https://www.personality-database.com/profile_images/127919.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/127919.png?=undefined'></a>,downthemall/127919.png
3778,ENFP,2w3,Moxy,   UglyDolls,https://www.personality-database.com/profile_images/120802.png?=undefined,2,3,<a href='https://www.personality-database.com/profile_images/120802.png?=undefined'></a>,downthemall/120802.png
3779,ENFP,6w7,Renée Dwyer,   Twilight,https://www.personality-database.com/profile_images/43323.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/43323.png?=undefined'></a>,downthemall/43323.png
3780,ENFP,8w7,Dean,   Blue Valentine ,https://www.personality-database.com/profile_images/172413.png?=undefined,8,7,<a href='https://www.personality-database.com/profile_images/172413.png?=undefined'></a>,downthemall/172413.png
3781,ENFP,3w4,Lars Erickssong,   Eurovision Song Contest: The Story of Fire Saga,https://www.personality-database.com/profile_images/155017.png?=undefined,3,4,<a href='https://www.personality-database.com/profile_images/155017.png?=undefined'></a>,downthemall/155017.png
3782,ENFP,6w7,Maria,   West Side Story ,https://www.personality-database.com/profile_images/15710.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/15710.png?=undefined'></a>,downthemall/15710.png
3783,ENFP,7w6,Poppy,   Trolls World Tour,https://www.personality-database.com/profile_images/166512.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/166512.png?=undefined'></a>,downthemall/166512.png
3784,ENFP,7w6,Poppy,   Trolls World Tour,https://www.personality-database.com/profile_images/166512.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/166512.png?=undefined'></a>,downthemall/166512.png
3785,ENFP,7w6,Dennis,   Hotel Transylvania ,https://www.personality-database.com/profile_images/127919.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/127919.png?=undefined'></a>,downthemall/127919.png
3786,ENFP,6w7,Maria,   West Side Story ,https://www.personality-database.com/profile_images/15710.png?=undefined,6,7,<a href='https://www.personality-database.com/profile_images/15710.png?=undefined'></a>,downthemall/15710.png
3787,ENFP,7w6,Miles,   Guns Akimbo ,https://www.personality-database.com/profile_images/103822.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/103822.png?=undefined'></a>,downthemall/103822.png
3788,ENFP,7w6,Brady,   Teen Beach Movie,https://www.personality-database.com/profile_images/131052.png?=undefined,7,6,<a href='https://www.personality-database.com/profile_images/131052.png?=undefined'></a>,downthemall/131052.png
3789,ENFP,2w1,Sue Lor,   Gran Torino ,https://www.personality-database.com/profile_images/45742.png?=undefined,2,1,<a href='https://www.personality-database.com/profile_images/45742.png?=undefined'></a>,downthemall/45742.png
3790,ENFP,7w8,Rosie,   Mamma Mia! ,https://www.personality-database.com/profile_images/31213.png?=undefined,7,8,<a href='https://www.personality-database.com/profile_images/31213.png?=undefined'></a>,downthemall/31213.png
