mbti,enneagram,role,movie,img_url,enn_1,enn_2
ESFP,7w6,Francis,   Platoon ,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w8,Lynette Pomeroy,   An Officer and a Gentleman ,https://www.personality-database.com/profile_images/195676.png?=undefined,7,8
ESFP,2w3,Trina,   Maze Runner,https://www.personality-database.com/images/profile_transparent.png,2,3
ESFP,7w6,Robbie Weirdicht/“Bob Stone”,   Central Intelligence,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w8,Jess Crichton,   A Long Way Down ,https://www.personality-database.com/profile_images/94156.png?=undefined,7,8
ESFP,7w8,Freeway Ricky Ross,   Kill The Messenger,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w6,Doris Thatcher (Hot Fuzz),   The Cornetto Trilogy,https://www.personality-database.com/images/profile_transparent.png,7,6
ESFP,7w8,Marie,"   Maries Lied: Ich war, ich weiß nicht wo",https://www.personality-database.com/profile_images/200997.png?=undefined,7,8
ESFP,6w7,Johnny,   In America ,https://www.personality-database.com/profile_images/201752.png?=undefined,6,7
ESFP,7w8,Odessa Mitty,   The Secret Life of Walter Mitty ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,4w3,Hayley,   Love Wedding Repeat ,https://www.personality-database.com/images/profile_transparent.png,4,3
ESFP,6w7,Figdet,   The Great Mouse Detective ,https://www.personality-database.com/profile_images/98096.png?=undefined,6,7
ESFP,6w5,Twilight,   Legend of the Guardians: The Owls of Ga'Hoole,https://www.personality-database.com/images/profile_transparent.png,6,5
ESFP,7w8,Erica,   SubUrbia ,https://www.personality-database.com/profile_images/105654.png?=undefined,7,8
ESFP,7w6,Nai,   Captain Fantastic ,https://www.personality-database.com/profile_images/101376.png?=undefined,7,6
ESFP,2w3,Caroline Bingley,   Pride and Prejudice and Zombies ,https://www.personality-database.com/profile_images/87553.png?=undefined,2,3
ESFP,7w8,Brian Crown/Blue Falcon,   Scoob! ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,4w3,Jesse,   Blades of Glory ,https://www.personality-database.com/profile_images/175484.png?=undefined,4,3
ESFP,3w2,Tecopa,   Tremors 4: The Legend Begins,https://www.personality-database.com/images/profile_transparent.png,3,2
ESFP,6w7,Laura Hunter,   Saw ,https://www.personality-database.com/profile_images/141657.png?=undefined,6,7
ESFP,7w8,Fred Jones,   Scoob! ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,3w4,Sameer,   DC Extended Universe,https://www.personality-database.com/images/profile_transparent.png,3,4
ESFP,3w2,Peter Foley,   The Dark Knight Trilogy,https://www.personality-database.com/profile_images/188801.png?=undefined,3,2
ESFP,4w5,Christa-Maria Sieland,   The Lives Of Others ,https://www.personality-database.com/profile_images/174575.png?=undefined,4,5
ESFP,3w2,Son,   The Red Turtle,https://www.personality-database.com/profile_images/104538.png?=undefined,3,2
ESFP,3w4,Madame Ginoux,   At Eternity's Gate ,https://www.personality-database.com/profile_images/197371.png?=undefined,3,4
ESFP,7w6,Felix,   Stuber ,https://www.personality-database.com/profile_images/191052.png?=undefined,7,6
ESFP,7w8,Jules,   St. Elmo's Fire ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,7w8,James Corden,   Yesterday ,https://www.personality-database.com/images/profile_transparent.png,7,8
ESFP,3w2,Piero,   L'Eclisse ,https://www.personality-database.com/profile_images/108154.png?=undefined,3,2
